교통량,평균속도
688,98.78
681,100
353,99.01
263,100.67
216,94.5
346,90.82
658,93.92
792,93.61
1257,93.02
1676,93.92
2281,93.62
3250,90.75
3311,89.75
3141,86.58
3316,88.68
3456,88.69
3513,87.73
3013,88.42
2388,91.45
1956,93.89
2016,92.48
1885,95.33
1285,98.2
793,100.01
466,101.26
291,97.65
165,101.37
93,93.29
229,89.45
366,93.12
845,93.04
1259,94.8
1981,93.05
2225,93.24
2566,91.4
3447,88.21
3781,87.03
3704,83.64
4015,84.5
4066,83
3950,86.4
3706,84.43
3114,88.62
2310,91.8
2323,92.66
2140,95.64
1323,81.41
850,93.14
506,94.36
321,97.63
235,94.66
174,93.32
167,92.47
332,94.32
481,95.4
754,93.52
1087,95.94
1607,97.25
2028,95.42
2459,92.92
3030,91.76
2980,90.4
3672,88.77
3681,87.11
3622,88.8
2965,89.44
2626,91.81
2265,93.35
2275,93.96
2098,95.46
1295,79.44
802,92.26
502,94.11
311,92.6
196,93.12
239,87.25
339,91.34
1491,88.97
4348,80.7
4589,59.85
4527,67.74
4151,85.16
3418,85.69
3174,87.19
3265,85.32
3252,83.78
2835,88.05
2313,84.01
2711,87.33
4664,49.52
4360,38.55
4203,37.41
3635,78.76
3268,87.17
1675,97.43
1079,96.4
658,99.57
400,99.32
245,97.55
269,93
373,92.41
1161,91.99
3422,84.87
4723,73.08
4617,77.34
4962,79.75
3284,81.63
2576,86.02
2696,83.51
2643,87.64
1211,102.06
1252,101.76
1300,101.1
780,110.18
889,107.22
572,111.72
494,113.64
381,118.23
184,118.05
90,120.5
70,120.22
30,116.69
35,119.38
19,112.14
34,115.11
209,112.92
1046,104.28
1389,93.73
1368,79.83
1373,99.49
1137,102.49
1081,105.08
973,106.86
994,107.06
1142,104.27
1045,105.23
1023,104.9
1010,105.71
746,109.31
417,92.32
246,45.53
232,44.64
245,46.11
93,52.68
94,55.74
53,66.08
42,61.22
51,64.56
81,60.44
243,61.64
618,47.63
606,11.65
633,26.94
796,62.36
893,67.68
1002,69.82
755,83.91
821,85.87
656,88.87
983,77.57
738,85.46
1002,80.36
482,86.49
406,92.06
313,96.45
215,96.83
126,102.49
58,102.65
40,98.35
22,97.59
24,100.66
22,92.85
30,93.51
181,97.87
888,86.49
1223,68.54
1276,77.63
1123,82.22
971,90.91
880,95.9
778,100.55
931,96.29
1101,94.47
1034,93.96
979,94.68
1061,89.31
670,98.02
755,101.04
679,102.11
494,106.24
257,109.04
130,108.28
75,110.5
50,111.34
34,102.23
31,111.99
31,112.22
110,106.69
230,104.01
401,101.81
605,104.21
721,100.84
1115,98.21
1090,101.97
1007,103.66
1043,104.02
1026,102.66
1125,102.19
1144,99.66
959,101.27
560,106.15
436,107.6
353,109.99
327,111.72
196,113.29
108,112.66
53,112.44
27,108.72
20,120.71
24,112.28
22,119.83
48,111.69
70,110.22
113,109.01
221,112.54
346,110.39
462,111.51
558,113.45
731,112.57
711,113.03
701,111.41
741,110.01
796,112.11
642,112.07
492,108.22
418,111.68
379,112.44
383,114.13
207,115.93
118,117.35
59,113.26
36,117.99
25,115.92
25,109.53
65,109.32
346,111.2
1254,71.74
748,11.65
758,12.6
1376,88.56
1022,101.75
998,104.64
1074,102.96
930,103.92
1193,102.2
1039,104.58
1013,105.89
890,104.76
715,104.16
535,107.9
430,109.68
357,111.42
160,119.5
85,116.46
56,117.6
35,111.32
28,110.49
28,108.83
51,107.78
231,110.23
1075,98.94
975,32.82
1060,25.51
1304,86.57
1293,95.69
1145,101.02
997,104.08
1296,100.58
1070,102.49
1189,94.4
893,93.14
944,90.94
896,91.14
572,92.27
395,103.09
265,107.04
130,108.23
67,108.22
45,105.57
30,103.49
27,102.41
19,107.09
34,106.41
205,103.58
1009,93.59
997,28.14
918,18.06
971,98.73
1144,97.54
989,101.18
984,102.47
540,103.91
1143,100.31
399,102.77
602,107.25
1104,101.22
620,105.2
611,106.99
464,110.02
404,112.31
209,116.88
117,119.16
67,114.13
36,116.67
29,118.54
28,112.51
62,110.96
237,113.34
1099,100.88
1146,52.46
989,28.18
1301,99.36
1161,94.71
1047,93.12
1084,106.84
1158,104.89
1152,105.49
1254,100.52
1087,103.96
948,106.05
996,102.24
535,111.09
600,114.89
472,115.58
210,119.79
130,117.06
81,118.12
42,121.25
40,114.62
39,117.94
43,114.95
245,115.37
1079,101.02
1110,46.57
1130,71.7
1357,98.38
1331,99.38
1149,102.49
1215,104.2
1066,104.59
1156,104.13
1082,101.27
1260,99.1
1223,98.23
1068,98.75
1025,102.22
991,107.35
768,110.85
343,117.03
183,120.67
99,119.31
59,120.03
36,115.84
35,119.03
49,112.66
136,112.64
260,111.86
490,109.82
693,112.81
984,109.79
1347,103.38
1349,103.3
1286,107.81
1321,104.8
1208,105.03
1012,107.46
1362,102.27
898,110.43
929,105.78
598,111.84
487,115.6
458,117.22
263,122.31
133,121.18
69,123.27
48,119.67
31,122.65
15,120.79
27,114.58
50,120.35
96,118.33
156,121.37
239,120.91
396,120.04
562,116.03
774,115.02
1099,114.38
1017,114.84
859,114.17
945,113.38
990,113.18
826,115.32
603,112.9
457,115.57
484,110.23
436,105.94
280,97.69
120,79.43
55,98.11
35,100.88
27,105.29
21,101.45
65,100.32
361,103.13
1209,85.08
901,78.99
736,92.02
896,95.57
835,97.91
750,102.31
730,105.14
707,106.05
931,99.46
828,102.35
568,102.03
785,104.9
593,105.29
388,112.13
371,112.52
271,116.23
140,116.64
69,114
50,115.77
32,117.81
21,115.2
29,111.26
38,111.97
208,113.18
1043,100.22
1229,95.55
930,43.1
1271,100.57
1386,98.07
1099,104.95
935,107.06
1001,105.91
1209,103
1204,102.27
1164,103.81
1119,103.96
1026,103.02
612,112.43
473,113.43
397,115.14
190,114.99
104,122.76
50,114.89
40,114.73
29,114.06
23,118.04
46,112.57
230,114.81
1075,103.78
1045,35.26
972,28.01
1338,102.76
1334,98.85
1129,106.39
935,108.87
791,110
936,106.82
1198,102.19
1533,96.6
1332,103.81
967,105.27
788,107.55
698,114.05
467,117.68
242,119.1
139,120.45
80,123.17
50,118.73
34,116.87
