교통량,평균속도,0010CZS420
1126,89.25,
952,86.31,
748,87.17,
659,86.75,
1109,89.85,
2460,89.86,
4427,83.91,
5194,77.07,
506,100.12,
4437,82.54,
278,103.21,
5069,77.81,
224,103,
5137,74.95,
216,100.98,
4643,75.25,
205,102.26,
4696,81.02,
195,103.74,
4526,81.75,
186,106.53,
4413,81.41,
194,105.3,
4334,80.98,
211,104.45,
4228,81.14,
206,103.91,
4137,80.12,
231,102.1,
3213,82.03,
239,103.88,
2738,85.06,
258,105.91,
2328,87.3,
191,107.45,
2553,89.04,
1949,90.85,
1450,90.36,
1058,89.21,
913,87.51,
733,87.44,
682,88.28,
1049,90.71,
2417,90.78,
4297,85.77,
5247,77.01,
519,100.81,
4947,78.67,
274,102.07,
4481,79.26,
224,103.87,
4221,79.71,
225,102.97,
4296,80.18,
198,103.82,
4149,81.18,
173,104.36,
4045,81.5,
193,104.5,
4143,80.91,
208,105.29,
4092,82.55,
190,104.73,
4445,80.29,
202,104.42,
4251,78.03,
240,102.26,
3393,81.02,
266,102.08,
2811,84.13,
250,104.98,
2415,85.56,
187,105.95,
2529,89.45,
2063,90.36,
1462,89.56,
1101,88.44,
919,87.23,
659,87.29,
663,88.88,
1117,88.76,
2440,89.76,
4439,84.26,
5208,76.69,
491,100.94,
5078,78.5,
295,103.52,
4997,65.81,
251,99.3,
5108,75.53,
236,102.39,
4897,76.58,
200,104.41,
4638,80.28,
183,103.79,
4689,80.35,
205,102.96,
4530,80.73,
201,105.14,
4546,80.35,
220,104.06,
4530,80.15,
222,103.25,
4160,77.9,
249,102.16,
3395,80.56,
237,104.57,
2783,83.87,
238,103.56,
2755,85.14,
200,103.61,
2815,89.84,
2207,89.72,
1511,90.54,
1234,88.63,
958,88.11,
727,87.21,
712,88.58,
1043,89.16,
2501,89.68,
4386,84.05,
5164,76.96,
538,99.76,
5004,79.77,
293,101.74,
4626,79.94,
246,102.57,
4532,79.71,
233,101.35,
4811,52.35,
239,98.29,
4919,67.23,
235,100.62,
4962,78.21,
218,103.83,
5007,77.74,
216,104.95,
5004,77.2,
272,103.21,
4741,78.99,
265,103.78,
4645,76.09,
372,97.79,
3999,78.12,
380,99.84,
3500,80.42,
346,102.15,
3627,79,
318,101.83,
4086,83.57,
3183,87.2,
2134,89.53,
1611,89.69,
1194,89.25,
894,89.74,
837,89.37,
1221,89.82,
2649,88.87,
4302,83.48,
4203,79.71,
410,99.63,
4737,78.17,
286,100.27,
5111,75.11,
278,100.11,
4907,74.2,
295,97.51,
4827,76.81,
268,102.22,
4728,78.01,
259,100.84,
4849,79.31,
260,103.73,
4756,80.09,
267,102.21,
4154,82.33,
263,104.87,
4737,78.28,
302,102.38,
4288,78.34,
274,101.93,
3568,78.14,
279,101.08,
3159,81.43,
218,103.89,
2820,83.39,
187,104.18,
2755,88.63,
2282,90.64,
1506,91.58,
1036,92.92,
694,92.85,
468,88.64,
407,90.44,
570,91.09,
1251,92.13,
2140,91.96,
2383,88.61,
256,104.64,
2836,87.11,
175,103.67,
3499,83.9,
184,104.65,
4000,81.68,
215,104.25,
4266,82.26,
177,103.58,
4117,84.89,
212,105.29,
4493,82.7,
233,104.95,
4452,82.11,
245,104.25,
4780,80.18,
229,103.82,
4584,81.04,
244,105.29,
3994,80.86,
220,102.4,
3693,80.26,
274,102.7,
3523,80.62,
277,104,
3546,81.59,
233,101.78,
4180,84.03,
3395,87.31,
2007,90.42,
1320,90.99,
847,91.82,
673,90.35,
839,91.21,
1813,93.83,
4262,85.73,
6196,77.44,
5416,48.71,
681,90.03,
4011,70.18,
329,101.67,
4373,77.39,
209,101.67,
4422,78.37,
233,100.56,
4371,78.57,
192,103.47,
4259,79.85,
207,103.65,
4313,78.88,
190,103.9,
4267,80.13,
195,103.94,
4293,79.3,
206,102.56,
4073,80.7,
191,105.48,
4097,78.83,
228,102.23,
3165,81.26,
226,102.99,
2687,84.35,
263,103.87,
2457,85.97,
187,106.46,
2541,89.3,
1940,90.32,
1391,88.86,
1111,88.22,
847,86.35,
795,85.93,
686,88.04,
1067,89.78,
2384,89.8,
4430,83.7,
5240,76.97,
528,99.56,
5088,79.73,
268,102.11,
5388,76.38,
246,101.53,
5345,74.33,
238,100.01,
5013,75.27,
215,102.18,
4479,80.62,
191,104.36,
4655,79.8,
206,104.14,
4486,81.47,
194,106.68,
4624,80.25,
197,104.57,
4248,80.99,
210,104.15,
4051,79.24,
234,102.33,
3227,81.37,
231,104.5,
2369,85.07,
243,106.95,
2511,85.72,
190,104.32,
2565,90.45,
1901,89.72,
1362,89.38,
1093,88.4,
902,87.28,
685,85.65,
647,86.99,
989,89.39,
2290,90.48,
4427,83.99,
5113,77.46,
499,101.33,
5109,79.31,
273,103.31,
5294,76.29,
225,99.61,
5176,77.42,
209,103.78,
4921,77.56,
196,102.76,
4669,81.07,
190,104.92,
4684,79.95,
193,105.16,
4508,78.89,
186,104.22,
4556,79.5,
205,103.05,
4413,79.71,
225,103.77,
4006,80.25,
230,102.15,
3174,82.61,
245,104.57,
2744,83.57,
244,103.07,
2289,85.65,
189,107.11,
2534,89.44,
1896,91.07,
1403,90.44,
1084,89.38,
938,87.2,
677,87.89,
624,88.78,
1041,90.72,
2362,91.35,
4440,84.11,
5146,74.91,
551,98.61,
5069,67.29,
278,99.94,
4683,77.65,
238,102.09,
4932,49.59,
265,94.26,
4651,49.83,
230,97.32,
4558,80.34,
192,103.31,
4647,80.37,
199,103.62,
4552,79.25,
200,105.38,
4459,77.93,
211,102.91,
4245,79.66,
213,103.43,
4075,79.93,
252,103.36,
3185,81.91,
252,101.91,
2796,84.8,
251,104.86,
2469,85.58,
204,103.64,
2502,90.06,
1980,91.5,
1468,90.37,
1205,89.91,
844,88.23,
683,87.99,
674,88.76,
1004,90.27,
2389,90.36,
4310,84.36,
5051,75.74,
534,98.5,
4940,78.2,
280,102.17,
4885,71.82,
227,99.73,
4763,78.35,
205,103.03,
4864,65.86,
212,101.3,
4834,77.66,
195,102.69,
4851,77.08,
211,103.31,
4879,75.93,
230,101.62,
4951,77.3,
236,104.29,
4784,78.08,
270,101.63,
4747,75.2,
308,100.63,
4105,77,
302,99.81,
3388,80.4,
324,103.48,
3592,77.81,
323,99.78,
3659,85.66,
2862,88.33,
1990,89.64,
1371,88.23,
1080,88.06,
812,87.07,
805,88.47,
1126,89.44,
2354,89.45,
3791,85.12,
4127,78.33,
403,100.11,
4704,78.75,
247,101.62,
4799,78.28,
267,102.08,
4977,73.99,
308,99.48,
4433,75.23,
251,100.57,
4825,77.32,
250,102.84,
4570,79.93,
245,105.68,
4971,79.32,
269,103.7,
4704,80.02,
265,103.14,
4465,80.47,
251,102.11,
4174,79.03,
256,101.57,
3499,79.79,
239,103.21,
2997,82.97,
243,104.64,
2395,85.22,
154,105.03,
2664,87.96,
2095,89.13,
1408,92.99,
904,92.26,
606,91.16,
421,90.25,
369,90.01,
467,91.05,
913,100,
1576,92.87,
1867,85.04,
220,102.2,
2058,80.6,
161,100.09,
2624,81.76,
173,103.17,
3182,79.05,
202,100.25,
3586,77.52,
198,100.39,
3552,78.68,
173,103.02,
4009,78.3,
226,101.74,
4058,76.67,
265,101.98,
4703,78.33,
259,103.18,
4383,80.21,
227,102.76,
3777,73.42,
210,100.44,
3354,69.5,
223,102.79,
3214,79.32,
261,104.67,
3184,82.32,
207,105.07,
3751,85.45,
2920,88.31,
1647,90.4,
1136,90.3,
766,88.56,
609,88.42,
693,88.81,
1496,91.51,
3676,87.16,
5849,79.42,
4971,66.47,
636,93.6,
4574,81.43,
286,103.87,
