날짜,교통량
2021.01.31,41
2021.01.31,37
2021.01.31,23
2021.01.31,31
2021.01.31,42
2021.01.31,30
2021.01.31,73
2021.01.31,134
2021.01.31,152
2021.01.31,219
2021.01.31,299
2021.01.31,444
2021.01.31,459
2021.01.31,536
2021.01.31,607
2021.01.31,763
2021.01.31,734
2021.01.31,756
2021.01.31,592
2021.01.31,392
2021.01.31,293
2021.01.31,242
2021.01.31,187
2021.01.31,110
2021.01.30,60
2021.01.30,55
2021.01.30,40
2021.01.30,42
2021.01.30,58
2021.01.30,95
2021.01.30,139
2021.01.30,198
2021.01.30,233
2021.01.30,370
2021.01.30,459
2021.01.30,561
2021.01.30,524
2021.01.30,551
2021.01.30,623
2021.01.30,628
2021.01.30,630
2021.01.30,630
2021.01.30,515
2021.01.30,325
2021.01.30,248
2021.01.30,177
2021.01.30,143
2021.01.30,106
2021.01.29,48
2021.01.29,53
2021.01.29,44
2021.01.29,32
2021.01.29,50
2021.01.29,68
2021.01.29,115
2021.01.29,158
2021.01.29,247
2021.01.29,275
2021.01.29,317
2021.01.29,404
2021.01.29,454
2021.01.29,475
2021.01.29,459
2021.01.29,508
2021.01.29,623
2021.01.29,645
2021.01.29,680
2021.01.29,456
2021.01.29,272
2021.01.29,215
2021.01.29,146
2021.01.29,93
2021.01.28,66
2021.01.28,64
2021.01.28,42
2021.01.28,52
2021.01.28,79
2021.01.28,129
2021.01.28,214
2021.01.28,240
2021.01.28,298
2021.01.28,351
2021.01.28,434
2021.01.28,414
2021.01.28,460
2021.01.28,556
2021.01.28,523
2021.01.28,514
2021.01.28,448
2021.01.28,484
2021.01.28,375
2021.01.28,222
2021.01.28,148
2021.01.28,118
2021.01.28,103
2021.01.28,74
2021.01.27,67
2021.01.27,53
2021.01.27,42
2021.01.27,35
2021.01.27,66
2021.01.27,113
2021.01.27,194
2021.01.27,252
2021.01.27,331
2021.01.27,375
2021.01.27,449
2021.01.27,511
2021.01.27,488
2021.01.27,521
2021.01.27,525
2021.01.27,553
2021.01.27,660
2021.01.27,624
2021.01.27,531
2021.01.27,297
2021.01.27,216
2021.01.27,207
2021.01.27,155
2021.01.27,94
2021.01.26,72
2021.01.26,43
2021.01.26,59
2021.01.26,40
2021.01.26,67
2021.01.26,119
2021.01.26,187
2021.01.26,232
2021.01.26,334
2021.01.26,368
2021.01.26,131
2021.01.26,476
2021.01.26,476
2021.01.26,524
2021.01.26,514
2021.01.26,542
2021.01.26,500
2021.01.26,490
2021.01.26,419
2021.01.26,230
2021.01.26,195
2021.01.26,154
2021.01.26,136
2021.01.26,81
2021.01.25,65
2021.01.25,40
2021.01.25,46
2021.01.25,49
2021.01.25,62
2021.01.25,121
2021.01.25,252
2021.01.25,349
2021.01.25,362
2021.01.25,391
2021.01.25,463
2021.01.25,565
2021.01.25,540
2021.01.25,529
2021.01.25,512
2021.01.25,512
2021.01.25,583
2021.01.25,555
2021.01.25,512
2021.01.25,292
2021.01.25,210
2021.01.25,181
2021.01.25,130
2021.01.25,99
2021.01.24,50
2021.01.24,30
2021.01.24,25
2021.01.24,24
2021.01.24,22
2021.01.24,39
2021.01.24,58
2021.01.24,85
2021.01.24,133
2021.01.24,199
2021.01.24,331
2021.01.24,416
2021.01.24,442
2021.01.24,529
2021.01.24,633
2021.01.24,771
2021.01.24,825
2021.01.24,782
2021.01.24,595
2021.01.24,398
2021.01.24,356
2021.01.24,263
2021.01.24,191
2021.01.24,112
2021.01.23,62
2021.01.23,48
2021.01.23,44
2021.01.23,37
2021.01.23,49
2021.01.23,89
2021.01.23,141
2021.01.23,183
2021.01.23,234
2021.01.23,365
2021.01.23,455
2021.01.23,523
2021.01.23,542
2021.01.23,524
2021.01.23,573
2021.01.23,616
2021.01.23,581
2021.01.23,550
2021.01.23,398
2021.01.23,292
2021.01.23,234
2021.01.23,162
2021.01.23,112
2021.01.23,94
2021.01.22,61
2021.01.22,35
2021.01.22,39
2021.01.22,42
2021.01.22,65
2021.01.22,89
2021.01.22,184
2021.01.22,231
2021.01.22,296
2021.01.22,339
2021.01.22,436
2021.01.22,479
2021.01.22,472
2021.01.22,545
2021.01.22,569
2021.01.22,591
2021.01.22,652
2021.01.22,728
2021.01.22,728
2021.01.22,486
2021.01.22,302
2021.01.22,221
2021.01.22,140
2021.01.22,86
2021.01.21,47
2021.01.21,48
2021.01.21,36
2021.01.21,39
2021.01.21,69
2021.01.21,116
2021.01.21,203
2021.01.21,265
2021.01.21,316
2021.01.21,358
2021.01.21,468
2021.01.21,490
2021.01.21,486
2021.01.21,507
2021.01.21,523
2021.01.21,551
2021.01.21,624
2021.01.21,539
2021.01.21,462
2021.01.21,267
2021.01.21,197
2021.01.21,171
2021.01.21,127
2021.01.21,86
2021.01.20,59
2021.01.20,49
2021.01.20,82
2021.01.20,74
2021.01.20,44
2021.01.20,73
2021.01.20,78
2021.01.20,82
2021.01.20,126
2021.01.20,164
2021.01.20,168
2021.01.20,170
2021.01.20,88
2021.01.20,173
2021.01.20,122
2021.01.20,192
2021.01.20,171
2021.01.20,259
2021.01.20,195
2021.01.20,31
2021.01.20,27
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.19,50
2021.01.19,54
2021.01.19,48
2021.01.19,32
2021.01.19,69
2021.01.19,88
2021.01.19,167
2021.01.19,232
2021.01.19,284
2021.01.19,345
2021.01.19,446
2021.01.19,503
2021.01.19,439
2021.01.19,504
2021.01.19,534
2021.01.19,479
2021.01.19,517
2021.01.19,525
2021.01.19,480
2021.01.19,257
2021.01.19,189
2021.01.19,161
2021.01.19,117
2021.01.19,86
2021.01.18,68
2021.01.18,42
2021.01.18,52
2021.01.18,43
2021.01.18,56
2021.01.18,97
2021.01.18,160
2021.01.18,241
2021.01.18,284
2021.01.18,275
2021.01.18,257
2021.01.18,347
2021.01.18,369
2021.01.18,374
2021.01.18,350
2021.01.18,325
2021.01.18,364
2021.01.18,349
2021.01.18,293
2021.01.18,180
2021.01.18,147
2021.01.18,117
2021.01.18,110
2021.01.18,76
2021.01.17,43
2021.01.17,34
2021.01.17,36
2021.01.17,30
2021.01.17,38
2021.01.17,51
2021.01.17,60
2021.01.17,77
2021.01.17,127
2021.01.17,201
2021.01.17,306
2021.01.17,448
2021.01.17,498
2021.01.17,515
2021.01.17,612
2021.01.17,736
2021.01.17,788
2021.01.17,732
2021.01.17,546
2021.01.17,373
2021.01.17,311
2021.01.17,234
2021.01.17,153
2021.01.17,109
2021.01.16,65
2021.01.16,54
2021.01.16,48
2021.01.16,32
2021.01.16,49
2021.01.16,74
2021.01.16,134
2021.01.16,188
2021.01.16,247
2021.01.16,347
2021.01.16,504
2021.01.16,579
2021.01.16,533
2021.01.16,554
2021.01.16,599
2021.01.16,661
2021.01.16,691
2021.01.16,691
2021.01.16,526
2021.01.16,302
2021.01.16,232
2021.01.16,181
2021.01.16,134
2021.01.16,84
2021.01.15,61
2021.01.15,51
2021.01.15,51
2021.01.15,45
2021.01.15,78
2021.01.15,109
2021.01.15,205
2021.01.15,250
2021.01.15,313
2021.01.15,379
2021.01.15,448
2021.01.15,469
2021.01.15,485
2021.01.15,519
2021.01.15,547
2021.01.15,626
2021.01.15,712
2021.01.15,738
2021.01.15,740
2021.01.15,463
2021.01.15,326
2021.01.15,251
2021.01.15,175
2021.01.15,106
2021.01.14,66
2021.01.14,49
2021.01.14,42
2021.01.14,51
2021.01.14,88
2021.01.14,111
2021.01.14,188
2021.01.14,276
2021.01.14,302
2021.01.14,376
2021.01.14,453
2021.01.14,468
2021.01.14,457
2021.01.14,505
2021.01.14,495
2021.01.14,541
2021.01.14,516
2021.01.14,588
2021.01.14,504
2021.01.14,298
2021.01.14,220
2021.01.14,170
2021.01.14,139
2021.01.14,107
2021.01.13,66
2021.01.13,43
2021.01.13,53
2021.01.13,42
2021.01.13,64
2021.01.13,101
2021.01.13,185
2021.01.13,273
2021.01.13,299
2021.01.13,345
2021.01.13,406
2021.01.13,467
2021.01.13,458
2021.01.13,529
2021.01.13,512
2021.01.13,517
2021.01.13,572
2021.01.13,495
2021.01.13,478
2021.01.13,265
2021.01.13,198
2021.01.13,149
2021.01.13,133
2021.01.13,92
2021.01.12,55
2021.01.12,37
2021.01.12,48
2021.01.12,41
2021.01.12,69
2021.01.12,89
2021.01.12,188
2021.01.12,236
2021.01.12,317
2021.01.12,334
2021.01.12,415
2021.01.12,458
2021.01.12,472
2021.01.12,486
2021.01.12,499
2021.01.12,476
2021.01.12,531
2021.01.12,527
2021.01.12,410
2021.01.12,216
2021.01.12,161
2021.01.12,149
2021.01.12,112
2021.01.12,77
2021.01.11,56
2021.01.11,36
2021.01.11,42
2021.01.11,28
2021.01.11,58
2021.01.11,110
2021.01.11,208
2021.01.11,268
2021.01.11,304
2021.01.11,312
2021.01.11,374
2021.01.11,446
2021.01.11,471
2021.01.11,492
2021.01.11,483
2021.01.11,506
2021.01.11,493
2021.01.11,475
2021.01.11,385
2021.01.11,240
2021.01.11,190
2021.01.11,147
2021.01.11,109
2021.01.11,89
2021.01.10,45
2021.01.10,31
2021.01.10,19
2021.01.10,24
2021.01.10,19
2021.01.10,24
2021.01.10,42
2021.01.10,59
2021.01.10,107
2021.01.10,158
2021.01.10,216
2021.01.10,377
2021.01.10,401
2021.01.10,404
2021.01.10,472
2021.01.10,539
2021.01.10,585
2021.01.10,484
2021.01.10,403
2021.01.10,270
2021.01.10,216
2021.01.10,156
2021.01.10,112
2021.01.10,96
2021.01.09,47
2021.01.09,41
2021.01.09,31
2021.01.09,24
2021.01.09,43
2021.01.09,45
2021.01.09,77
2021.01.09,122
2021.01.09,191
2021.01.09,239
2021.01.09,335
2021.01.09,427
2021.01.09,448
2021.01.09,454
2021.01.09,437
2021.01.09,433
2021.01.09,474
2021.01.09,470
2021.01.09,380
2021.01.09,218
2021.01.09,158
2021.01.09,121
2021.01.09,105
2021.01.09,64
2021.01.08,52
2021.01.08,39
2021.01.08,43
2021.01.08,38
2021.01.08,46
2021.01.08,31
2021.01.08,94
2021.01.08,130
2021.01.08,213
2021.01.08,222
2021.01.08,244
2021.01.08,338
2021.01.08,350
2021.01.08,390
2021.01.08,374
2021.01.08,478
2021.01.08,508
2021.01.08,540
2021.01.08,468
2021.01.08,313
2021.01.08,198
2021.01.08,149
2021.01.08,98
2021.01.08,79
2021.01.07,59
2021.01.07,41
2021.01.07,47
2021.01.07,52
2021.01.07,43
2021.01.07,59
2021.01.07,85
2021.01.07,131
2021.01.07,191
2021.01.07,200
2021.01.07,336
2021.01.07,288
2021.01.07,344
2021.01.07,358
2021.01.07,244
2021.01.07,391
2021.01.07,448
2021.01.07,300
2021.01.07,233
2021.01.07,160
2021.01.07,116
2021.01.07,101
2021.01.07,76
2021.01.07,68
2021.01.06,64
2021.01.06,38
2021.01.06,40
2021.01.06,42
2021.01.06,65
2021.01.06,79
2021.01.06,157
2021.01.06,233
2021.01.06,299
2021.01.06,299
2021.01.06,205
2021.01.06,274
2021.01.06,425
2021.01.06,373
2021.01.06,489
2021.01.06,510
2021.01.06,553
2021.01.06,510
2021.01.06,420
2021.01.06,265
2021.01.06,187
2021.01.06,145
2021.01.06,101
2021.01.06,94
2021.01.05,67
2021.01.05,59
2021.01.05,63
2021.01.05,46
2021.01.05,73
2021.01.05,109
2021.01.05,192
2021.01.05,228
2021.01.05,312
2021.01.05,360
2021.01.05,394
2021.01.05,469
2021.01.05,458
2021.01.05,497
2021.01.05,524
2021.01.05,515
2021.01.05,494
2021.01.05,517
2021.01.05,436
2021.01.05,239
2021.01.05,173
2021.01.05,159
2021.01.05,113
2021.01.05,90
2021.01.04,49
2021.01.04,42
2021.01.04,48
2021.01.04,44
2021.01.04,64
2021.01.04,109
2021.01.04,216
2021.01.04,305
2021.01.04,323
2021.01.04,322
2021.01.04,384
2021.01.04,445
2021.01.04,432
2021.01.04,474
2021.01.04,496
2021.01.04,472
2021.01.04,459
2021.01.04,477
2021.01.04,397
2021.01.04,226
2021.01.04,181
2021.01.04,173
2021.01.04,119
2021.01.04,88
2021.01.03,47
2021.01.03,37
2021.01.03,32
2021.01.03,25
2021.01.03,39
2021.01.03,32
2021.01.03,58
2021.01.03,72
2021.01.03,115
2021.01.03,149
2021.01.03,251
2021.01.03,381
2021.01.03,406
2021.01.03,523
2021.01.03,609
2021.01.03,750
2021.01.03,795
2021.01.03,598
2021.01.03,461
2021.01.03,293
2021.01.03,255
2021.01.03,195
2021.01.03,148
2021.01.03,89
2021.01.02,36
2021.01.02,26
2021.01.02,29
2021.01.02,27
2021.01.02,33
2021.01.02,50
2021.01.02,69
2021.01.02,117
2021.01.02,178
2021.01.02,258
2021.01.02,378
2021.01.02,450
2021.01.02,521
2021.01.02,604
2021.01.02,582
2021.01.02,611
2021.01.02,583
2021.01.02,535
2021.01.02,379
2021.01.02,239
2021.01.02,160
2021.01.02,143
2021.01.02,83
2021.01.02,71
2021.01.01,57
2021.01.01,42
2021.01.01,32
2021.01.01,33
2021.01.01,32
2021.01.01,43
2021.01.01,65
2021.01.01,98
2021.01.01,113
2021.01.01,181
2021.01.01,319
2021.01.01,467
2021.01.01,596
2021.01.01,586
2021.01.01,623
2021.01.01,574
2021.01.01,523
2021.01.01,381
2021.01.01,291
2021.01.01,201
2021.01.01,150
2021.01.01,112
2021.01.01,73
2021.01.01,60
