날짜,교통량
20210201,1014
20210201,655
20210201,636
20210201,527
20210201,704
20210201,1571
20210201,3651
20210201,4951
20210201,5997
20210201,4934
20210201,4572
20210201,4748
20210201,4953
20210201,5038
20210201,4878
20210201,4872
20210201,4864
20210201,5119
20210201,4981
20210201,4718
20210201,3933
20210201,4519
20210201,2899
20210201,1884
20210202,1327
20210202,891
20210202,688
20210202,621
20210202,624
20210202,1419
20210202,3476
20210202,5109
20210202,6170
20210202,4729
20210202,4417
20210202,4722
20210202,5033
20210202,5177
20210202,5069
20210202,5171
20210202,5067
20210202,5251
20210202,5183
20210202,5104
20210202,4098
20210202,4530
20210202,3135
20210202,1996
20210203,1334
20210203,923
20210203,674
20210203,588
20210203,701
20210203,1422
20210203,3520
20210203,5104
20210203,5664
20210203,5040
20210203,4706
20210203,4845
20210203,5090
20210203,5403
20210203,5357
20210203,5216
20210203,5082
20210203,5157
20210203,4942
20210203,4996
20210203,3720
20210203,3940
20210203,2360
20210203,1739
20210204,1129
20210204,827
20210204,576
20210204,468
20210204,616
20210204,1283
20210204,2982
20210204,4381
20210204,4789
20210204,4372
20210204,4052
20210204,4637
20210204,4682
20210204,4996
20210204,5134
20210204,5389
20210204,5279
20210204,5440
20210204,4961
20210204,4223
20210204,4121
20210204,4628
20210204,3250
20210204,2216
20210205,1345
20210205,969
20210205,717
20210205,636
20210205,724
20210205,1497
20210205,3510
20210205,5050
20210205,5680
20210205,5250
20210205,4742
20210205,4963
20210205,5187
20210205,4746
20210205,5095
20210205,5086
20210205,4959
20210205,5516
20210205,4776
20210205,4760
20210205,4738
20210205,4814
20210205,4239
20210205,2532
20210206,1729
20210206,1147
20210206,886
20210206,733
20210206,767
20210206,1220
20210206,2087
20210206,2850
20210206,3664
20210206,4107
20210206,4421
20210206,4734
20210206,5504
20210206,5154
20210206,5143
20210206,5268
20210206,5220
20210206,5221
20210206,4953
20210206,3958
20210206,3850
20210206,4077
20210206,2745
20210206,1914
20210207,1231
20210207,838
20210207,630
20210207,506
20210207,444
20210207,660
20210207,1244
20210207,1754
20210207,2568
20210207,3346
20210207,4091
20210207,4465
20210207,4715
20210207,4710
20210207,5133
20210207,5013
20210207,5006
20210207,4874
20210207,4162
20210207,3699
20210207,3479
20210207,3567
20210207,2331
20210207,1693
20210208,1009
20210208,653
20210208,489
20210208,490
20210208,645
20210208,1650
20210208,3698
20210208,5137
20210208,5911
20210208,4947
20210208,4458
20210208,4994
20210208,4823
20210208,5264
20210208,5417
