날짜,평균속도
20210201,58.32
20210201,55.98
20210201,56.75
20210201,54
20210201,55.75
20210201,56.45
20210201,53.93
20210201,41.74
20210201,21.61
20210201,31.09
20210201,52.29
20210201,55.03
20210201,54.39
20210201,54.85
20210201,55.2
20210201,55.66
20210201,53.35
20210201,49.84
20210201,48.38
20210201,49.66
20210201,55
20210201,54.03
20210201,57.65
20210201,59.85
20210202,60.64
20210202,59.29
20210202,57.32
20210202,57.31
20210202,55.96
20210202,56.6
20210202,55.52
20210202,40.21
20210202,21.86
20210202,37.11
20210202,49.44
20210202,48.58
20210202,52.91
20210202,54.52
20210202,55.31
20210202,54.98
20210202,51.52
20210202,50.32
20210202,45.29
20210202,46.31
20210202,51.4
20210202,52.49
20210202,56.53
20210202,59.53
20210203,59.88
20210203,57.96
20210203,56.73
20210203,56.96
20210203,57.23
20210203,57.44
20210203,55.8
20210203,40.73
20210203,26.12
20210203,33.19
20210203,49.92
20210203,46.36
20210203,52.43
20210203,49.72
20210203,51.92
20210203,54.66
20210203,53.65
20210203,51.42
20210203,44.77
20210203,43.25
20210203,52.9
20210203,50.54
20210203,55.84
20210203,56.9
20210204,52.61
20210204,56.42
20210204,58.05
20210204,55.52
20210204,55.08
20210204,54.55
20210204,52.87
20210204,46.93
20210204,38.71
20210204,51.8
20210204,54.36
20210204,52.17
20210204,54.88
20210204,55.78
20210204,55.82
20210204,55.91
20210204,55.1
20210204,51.86
20210204,47.6
20210204,48.96
20210204,55.77
20210204,52.48
20210204,56.05
20210204,60.98
20210205,60.53
20210205,58.27
20210205,57.72
20210205,55.42
20210205,58.14
20210205,58.93
20210205,56.2
20210205,42.61
20210205,22.75
20210205,26.39
20210205,51.57
20210205,51.05
20210205,52.37
20210205,56.39
20210205,55.79
20210205,55.03
20210205,53.47
20210205,50.53
20210205,47.38
20210205,46.9
20210205,46.68
20210205,47.22
20210205,49.93
20210205,58.67
20210206,61.26
20210206,59.52
20210206,57.57
20210206,57.49
20210206,56.67
20210206,55.98
20210206,56.79
20210206,55.98
20210206,56.1
20210206,55.67
20210206,56.4
20210206,56.84
20210206,39.04
20210206,49.06
20210206,49.19
20210206,52.68
20210206,41.48
20210206,52.63
20210206,46.15
20210206,52.77
20210206,55.77
20210206,54.47
20210206,56.32
20210206,57.57
20210207,58.02
20210207,58.22
20210207,57.4
20210207,56.92
20210207,57.25
20210207,57.57
20210207,55.66
20210207,54.83
20210207,56.49
20210207,55.82
20210207,56.52
20210207,56.21
20210207,55.37
20210207,55.24
20210207,56.5
20210207,55.37
20210207,54.7
20210207,56.48
20210207,55.68
20210207,56.46
20210207,54.73
20210207,56.97
20210207,56.62
20210207,56.68
20210208,57.51
20210208,56.76
20210208,56.72
20210208,57.46
20210208,58.42
20210208,57.48
20210208,54.53
20210208,40.79
20210208,21.6
20210208,31.63
20210208,51.89
20210208,49.28
20210208,53.83
20210208,53.39
20210208,53.89
20210208,54.55
20210208,53.41
20210208,52.67
20210208,49.81
20210208,47.58
20210208,49.64
20210208,48.94
20210208,55.18
20210208,61.92
20210209,59.95
20210209,58.79
20210209,58.51
20210209,56.86
20210209,58.7
20210209,56.2
20210209,56.16
20210209,42.35
20210209,21.09
20210209,30.37
20210209,50.16
20210209,43.9
20210209,52.51
20210209,52.84
20210209,54.95
20210209,54.74
20210209,53.87
20210209,53.67
20210209,48.98
20210209,47.09
20210209,47.44
20210209,48.76
20210209,53.37
20210209,60.27
20210210,59.77
20210210,58.31
20210210,56.96
20210210,57.09
20210210,57.81
20210210,57.57
20210210,57.18
20210210,50.6
20210210,36.36
20210210,53.42
20210210,55.42
20210210,49.19
20210210,53.35
20210210,52.27
20210210,52.49
20210210,51.87
20210210,50.93
20210210,48.14
20210210,41.6
20210210,42.18
20210210,55.35
20210210,54.38
20210210,56.18
20210210,58.75
20210211,58.71
20210211,58.28
20210211,56.65
20210211,57.18
20210211,57.59
20210211,57.73
20210211,56.78
20210211,55.32
20210211,54.85
20210211,55.46
20210211,53.9
20210211,54.29
20210211,54.2
20210211,54.75
20210211,54.29
20210211,54.27
20210211,54.74
20210211,56.21
20210211,56.77
20210211,57.01
20210211,56.72
20210211,57.16
