교통량,평균속도,0010CZS430
1101,100.03,
853,98.73,
703,96.91,
647,97.97,
1051,99.2,
2637,101.73,
5065,92.33,
5420,86.26,
427,104.4,
4470,92.38,
277,105.42,
4658,89.38,
261,104.37,
4896,89.53,
212,104.82,
4657,93.01,
201,106.06,
4756,91.77,
230,105.04,
4603,92.24,
192,107.13,
4355,92.49,
224,104.38,
4520,91.48,
226,105.21,
4476,92.81,
234,105.4,
4317,89.64,
194,107.52,
4137,86.18,
203,107.5,
3793,85.97,
248,103.41,
2872,94.68,
172,105.35,
2957,98.83,
2152,101.62,
1438,102.3,
989,101.13,
829,100.12,
669,99,
630,100.85,
995,101.75,
2548,102.55,
4986,95.57,
5474,83.82,
439,104.77,
5245,89.87,
269,104.93,
4250,94.92,
247,104.91,
4019,96,
233,105.79,
4137,95.91,
230,107.4,
4107,95.57,
204,106.6,
4044,95.03,
214,108.16,
4010,93.54,
224,107.84,
4131,92.76,
204,105.96,
4526,91.57,
218,106.56,
4471,88.39,
222,106.19,
4364,80.28,
231,104.54,
3725,87.24,
263,103.24,
3036,93.61,
175,104.16,
2982,98.43,
2208,102.19,
1502,103.14,
1059,102.45,
825,99.27,
585,99.22,
598,98.42,
1034,99.74,
2649,101.62,
5157,93.9,
5425,82.11,
446,101.84,
5311,89.97,
278,105.83,
4880,91.24,
275,103.66,
4941,90.26,
285,104.82,
4841,88.53,
201,106.54,
4697,92.64,
207,105.33,
4801,91.66,
216,106.45,
4400,92.41,
226,105.37,
4643,89.11,
213,106.35,
4663,89.31,
218,105.02,
4360,88.25,
218,107.24,
4383,80.07,
227,105.24,
3912,83.63,
247,102.86,
3406,91.93,
189,103.92,
3223,99.61,
2396,101.41,
1518,100.82,
1223,99.54,
854,99.45,
638,99.86,
668,99.18,
995,99.69,
2731,100.43,
5052,93.71,
5399,85.53,
475,100.59,
5194,91.2,
310,104.43,
4166,94.51,
281,104.81,
4105,95.2,
237,105.71,
4863,89.05,
229,105.82,
4587,92.18,
221,105.87,
4829,89.18,
227,104.92,
4714,89.45,
228,105.57,
4874,86.96,
254,105.85,
4698,88.96,
276,107.04,
4782,85.67,
359,105.01,
4709,78.95,
353,103.29,
4586,76.12,
348,103.94,
4416,85.34,
305,103.61,
4572,94.83,
3495,100.16,
2172,103.94,
1560,104.14,
1101,101.73,
818,104.25,
746,103.07,
1171,103.11,
2671,104.02,
4453,96.25,
4393,93.88,
389,102.81,
4784,93.49,
298,105.75,
5048,92.31,
316,105.79,
4860,93.03,
306,104.95,
4840,92.77,
305,106.93,
4868,94.05,
286,106.81,
5096,93.02,
272,103.94,
4984,94.74,
281,106.19,
4180,99.59,
254,108.73,
4862,93.59,
336,106.09,
4809,87.75,
292,104.95,
4504,85.27,
270,104.57,
3894,91.12,
233,107.98,
3370,95.11,
184,106.57,
3365,102.5,
2596,105.01,
1616,109.23,
1087,109.69,
682,110.5,
444,104.67,
383,103.88,
533,105.34,
1299,108.11,
2227,107.41,
2571,106.07,
264,104.87,
2973,106.97,
174,108.28,
3574,104.05,
191,106.28,
4044,100.42,
220,107.17,
4366,100.91,
187,105.41,
4552,101.13,
227,108.17,
4837,98.49,
235,107.7,
4706,96.99,
269,104.44,
5153,92.71,
261,105.92,
4940,94.38,
261,106,
4563,92.58,
217,106.17,
4411,89.82,
286,104.64,
4219,91.64,
282,104.79,
4340,91.87,
241,104.25,
4855,98.09,
3842,103.69,
2209,108.79,
1331,109.33,
828,105.28,
633,104.74,
791,105.76,
1863,110.35,
4797,99.55,
6763,87.78,
5298,85.04,
532,103.99,
3999,94.12,
244,103.23,
4172,91.86,
214,103.35,
4279,91.35,
262,105.34,
4206,90.55,
239,105.65,
4355,89.95,
227,106.18,
4378,89.5,
200,107.4,
4225,89.15,
215,105.61,
4301,88.57,
225,105.43,
4163,91.28,
205,106.31,
4397,88.88,
226,109.15,
4038,85.68,
219,105.3,
3742,86.35,
236,104.12,
3039,92.65,
186,104.53,
2991,99.14,
2062,102.56,
