집계일자,집계시,순창IC-남원JC교통량,순창IC-남원JC평균속도,남원JC-남원IC교통량,남원JC-남원IC평균속도,남원JC-순창IC교통량,남원JC-순창IC평균속도,남원IC-남원JC교통량,남원IC-남원JC평균속도,서남원IC-남원JC교통량,서남원IC-남원JC평균속도,남원JC-북남원IC교통량,남원JC-북남원IC평균속도,남원JC-서남원IC교통량,남원JC-서남원IC평균속도,북남원IC-남원JC교통량,북남원IC-남원JC평균속도
20210401,0,62,95.53,58,91.99,66,93.3,56,95.09,165,94.73,165,89.38,185,99.44,145,100.11
20210401,1,41,96.2,40,95.13,51,99.24,45,98.68,133,91.5,90,83.47,143,98.06,123,97.82
20210401,2,33,89.99,31,93.04,48,90.83,54,88.66,148,88.31,118,79.69,151,95.14,131,96.5
20210401,3,56,90.34,41,90.92,52,87.37,49,87.45,176,90.23,146,80.79,137,93.25,104,91.59
20210401,4,91,89.04,80,88.08,76,90.62,71,92.06,190,89.71,179,83.09,188,90.56,166,90.05
20210401,5,104,94.08,87,95.52,119,88.57,124,89.44,228,92.56,240,86.18,258,92.05,284,92.84
20210401,6,287,100.51,190,99.7,266,99.19,251,99.06,291,99.29,312,95.91,350,96.56,383,96.84
20210401,7,446,104.74,304,104.69,321,103.24,275,103.26,350,104.29,373,101.21,432,102.19,451,102.87
20210401,8,522,104.96,386,105.04,375,105.41,347,104.69,380,106.09,415,100.8,545,105.24,527,105.31
20210401,9,636,102.83,441,101.72,415,106.13,381,105.85,538,103.12,605,97.73,731,103.29,699,104.74
20210401,10,716,101.25,553,99.82,491,104.5,448,106.23,771,99.07,800,94.06,876,102.36,847,104.65
20210401,11,626,101.31,476,99.32,552,105.64,513,106.32,789,99.22,827,92.84,990,100.79,970,103.46
20210401,12,566,102.22,406,100.17,519,106.48,437,103.4,716,101.66,755,93.67,958,100.61,931,102.53
20210401,13,551,102.65,426,100.98,506,104.76,404,105.01,764,103.43,769,97.34,812,100.49,817,102.09
20210401,14,551,103.13,444,102.12,642,106.68,470,105.68,880,101.93,837,96.5,817,102.43,888,104.61
20210401,15,466,103.24,425,102.49,617,107.24,450,106.72,922,101.42,879,95.93,773,102.28,843,104.43
20210401,16,555,104.82,505,105.08,648,109.25,487,107.79,980,101.14,929,95.34,683,104.14,755,106.52
20210401,17,433,105.46,398,103.86,657,110.46,461,110.12,834,102.07,773,95.54,621,104.72,711,105.74
20210401,18,344,105.6,299,104.58,609,110.78,424,108.62,714,99.83,707,93.23,536,105.01,611,106.37
20210401,19,263,102.52,265,103.11,335,108.93,244,106.93,497,98.01,516,90.73,434,103.48,490,104.71
