집계일자,집계시,T12_2,T11_2,T12,T11,T10_2,T1_2,T10,T1
20210401,0,62,58,66,56,165,165,185,145
20210401,1,41,40,51,45,133,90,143,123
20210401,2,33,31,48,54,148,118,151,131
20210401,3,56,41,52,49,176,146,137,104
20210401,4,91,80,76,71,190,179,188,166
20210401,5,104,87,119,124,228,240,258,284
20210401,6,287,190,266,251,291,312,350,383
20210401,7,446,304,321,275,350,373,432,451
20210401,8,522,386,375,347,380,415,545,527
20210401,9,636,441,415,381,538,605,731,699
20210401,10,716,553,491,448,771,800,876,847
20210401,11,626,476,552,513,789,827,990,970
20210401,12,566,406,519,437,716,755,958,931
20210401,13,551,426,506,404,764,769,812,817
20210401,14,551,444,642,470,880,837,817,888
20210401,15,466,425,617,450,922,879,773,843
20210401,16,555,505,648,487,980,929,683,755
20210401,17,433,398,657,461,834,773,621,711
20210401,18,344,299,609,424,714,707,536,611
20210401,19,263,265,335,244,497,516,434,490
20210401,20,197,193,250,220,406,442,332,377
20210401,21,170,150,201,177,330,359,314,334
20210401,22,118,119,133,144,234,242,282,292
20210401,23,84,75,102,80,211,185,213,228
20210402,0,46,45,61,56,166,120,191,166
20210402,1,48,55,48,45,139,116,152,126
20210402,2,31,30,63,53,154,122,150,123
20210402,3,48,40,53,54,173,150,143,121
20210402,4,81,75,73,66,193,188,179,171
20210402,5,121,88,131,137,237,245,255,292
20210402,6,225,190,249,238,282,298,334,372
20210402,7,412,287,287,277,316,362,432,443
20210402,8,539,417,356,299,411,442,513,536
20210402,9,616,475,389,363,559,610,662,657
20210402,10,679,514,480,454,723,796,889,888
20210402,11,641,524,506,472,823,838,1075,1022
20210402,12,643,498,536,471,759,824,1035,1074
20210402,13,659,560,609,511,820,810,1029,1075
20210402,14,673,563,670,510,931,876,1028,1082
20210402,15,654,594,766,596,1161,1103,1051,1094
20210402,16,682,602,896,654,1122,1037,973,1078
20210402,17,653,625,995,715,1115,1051,992,1140
20210402,18,551,530,860,642,1119,1095,943,1025
20210402,19,466,460,600,494,885,887,816,901
20210402,20,322,324,419,380,553,594,739,790
20210402,21,198,184,310,258,383,409,658,718
20210402,22,125,118,203,173,278,275,540,586
20210402,23,85,85,128,99,180,174,420,450
20210403,0,63,56,82,71,169,152,337,373
20210403,1,48,46,59,42,130,86,233,258
