T3 교통량,T5 교통량,T4
1060,1330,270
964,1236,272
700,920,220
525,694,169
650,838,188
1065,1363,298
1857,2484,627
2363,2976,613
208,364,156
2923,3747,824
169,263,94
3607,4604,997
180,327,147
4448,5326,878
233,357,124
4768,5417,649
251,381,130
4371,5036,665
224,364,140
4758,5382,624
219,367,148
4480,4934,454
219,360,141
4490,4961,471
190,315,125
4262,4462,200
185,314,129
3418,3776,358
164,283,119
2529,2860,331
158,278,120
2196,2516,320
170,286,116
2205,2339,134
146,219,73
2189,2551,362
1700,2024,324
1053,1291,238
714,918,204
561,706,145
456,580,124
394,482,88
534,690,156
1149,1458,309
1924,2408,484
2399,2762,363
203,394,191
2865,3511,646
166,284,118
3418,5194,1776
208,375,167
4270,5725,1455
179,386,207
4586,5785,1199
191,357,166
4352,5251,899
183,318,135
4965,5808,843
226,402,176
4760,5664,904
232,408,176
4691,5351,660
216,371,155
4745,5300,555
243,428,185
4155,4556,401
177,347,170
3395,4257,862
177,344,167
2737,3511,774
170,312,142
2576,3408,832
144,289,145
2695,3752,1057
1816,2674,858
1240,1781,541
811,1131,320
459,674,215
382,517,135
325,422,97
393,527,134
730,1044,314
1286,1925,639
1592,2307,715
153,323,170
2017,3094,1077
154,286,132
2754,4170,1416
151,281,130
3545,5243,1698
171,353,182
4086,5916,1830
188,340,152
4191,5191,1000
185,371,186
4610,5677,1067
193,370,177
4865,5989,1124
251,444,193
5114,6069,955
224,429,205
4722,5638,916
213,410,197
4318,5163,845
215,390,175
3834,5017,1183
243,401,158
3890,5249,1359
224,430,206
3919,5031,1112
201,390,189
4149,6191,2042
3113,4853,1740
1835,2883,1048
1171,1836,665
765,1120,355
565,807,242
660,920,260
1515,2416,901
4307,6650,2343
6532,7336,804
5266,5083,-183
474,1470,996
4206,4613,407
222,534,312
4077,5021,944
181,382,201
4916,6085,1169
188,393,205
4812,5579,767
179,304,125
4552,5668,1116
175,364,189
4248,5609,1361
184,350,166
4619,5682,1063
169,349,180
4496,5670,1174
174,340,166
4411,4961,550
197,326,129
4125,4540,415
195,369,174
4075,3756,-319
203,372,169
3583,2896,-687
196,354,158
2665,2503,-162
162,316,154
2703,2772,69
1779,2099,320
1277,1505,228
939,1166,227
691,877,186
533,627,94
588,760,172
889,1109,220
2137,2507,370
4524,5260,736
5040,5100,60
354,699,345
4882,5054,172
234,393,159
4150,4638,488
194,325,131
3792,3893,101
190,307,117
3386,3506,120
153,259,106
4286,4500,214
160,289,129
4660,5130,470
174,303,129
4471,5113,642
183,282,99
4513,5005,492
181,312,131
4365,4857,492
183,332,149
4273,4589,316
208,354,146
4066,3797,-269
225,382,157
3482,3311,-171
209,408,199
2841,3250,409
144,283,139
2699,3399,700
1743,2401,658
1222,1590,368
938,1263,325
754,942,188
614,776,162
579,741,162
789,1014,225
2009,2753,744
4307,6159,1852
5096,5743,647
367,882,515
4978,5541,563
218,498,280
4668,5760,1092
195,406,211
4939,6092,1153
192,403,211
4845,2876,-1969
190,189,-1
4631,5696,1065
170,345,175
4505,4525,20
190,278,88
4414,5154,740
179,389,210
4433,5569,1136
187,371,184
4514,5503,989
235,375,140
4193,3432,-761
207,309,102
3959,4050,91
215,446,231
2951,3132,181
133,290,157
1352,1230,-122
84,184,100
1415,1557,142
1763,1766,3
1608,1490,-118
1466,1765,299
1322,1624,302
754,1018,264
727,1005,278
778,1215,437
1291,1789,498
2739,3964,1225
3296,3942,646
321,803,482
3164,4198,1034
263,572,309
3231,4294,1063
195,423,228
3354,4779,1425
220,443,223
3668,5071,1403
154,374,220
3846,4704,858
177,390,213
3756,4579,823
174,376,202
3525,4499,974
188,383,195
3577,4615,1038
177,367,190
3474,4328,854
191,390,199
3483,4166,683
165,400,235
3292,3562,270
220,452,232
2662,2824,162
227,447,220
1830,2171,341
148,307,159
1785,2364,579
1231,1593,362
890,1230,340
722,904,182
570,804,234
540,717,177
479,636,157
657,867,210
1453,1958,505
3590,5086,1496
4339,5022,683
370,896,526
4028,4645,617
224,490,266
3870,4759,889
189,373,184
4217,5374,1157
213,389,176
4275,4891,616
201,370,169
4083,4954,871
211,358,147
4264,5099,835
216,335,119
4023,4867,844
175,325,150
4037,4862,825
205,389,184
4040,4720,680
245,348,103
3011,3866,855
228,413,185
3359,3571,212
244,449,205
4021,3657,-364
275,477,202
3124,3183,59
188,353,165
2851,3243,392
1956,2372,416
1309,1603,294
955,1168,213
721,907,186
578,704,126
539,666,127
623,772,149
1289,1599,310
2261,2802,541
2846,3296,450
244,470,226
3241,3933,692
180,303,123
3697,4534,837
195,341,146
4137,4702,565
219,383,164
4192,4668,476
186,316,130
4280,4808,528
217,360,143
4422,4747,325
211,360,149
4554,4999,445
207,355,148
4555,4604,49
227,368,141
4530,4637,107
215,339,124
4258,4225,-33
233,362,129
3365,3552,187
200,339,139
2706,2889,183
170,311,141
2167,2517,350
143,248,105
2368,2671,303
1618,1932,314
1045,1282,237
703,881,178
442,589,147
303,395,92
243,344,101
320,401,81
614,728,114
1178,1446,268
1527,1872,345
167,268,101
1865,2221,356
142,233,91
2548,3254,706
139,246,107
3289,4048,759
185,313,128
3575,4411,836
196,291,95
3738,4393,655
168,289,121
3997,4647,650
180,331,151
4268,4856,588
218,325,107
4696,5229,533
188,326,138
4436,4832,396
217,344,127
4080,4513,433
198,333,135
3525,3898,373
219,349,130
3485,3658,173
228,373,145
3520,3963,443
207,363,156
3783,4612,829
2860,3478,618
1722,2308,586
1130,1680,550
695,1045,350
577,772,195
637,932,295
1386,2103,717
3842,6045,2203
6052,9086,3034
4940,5492,552
473,1217,744
4636,5444,808
252,553,301
4551,5641,1090
225,456,231
4806,5987,1181
225,400,175
4621,6005,1384
214,381,167
4606,5756,1150
197,365,168
4606,5384,778
205,411,206
4423,5714,1291
184,348,164
4442,5810,1368
174,380,206
4441,5616,1175
206,398,192
4100,5073,973
182,452,270
4021,4200,179
195,426,231
3400,3345,-55
203,411,208
3024,3283,259
176,358,182
2680,3524,844
1844,2550,706
1210,1774,564
858,1114,256
758,1006,248
612,806,194
605,807,202
879,1227,348
2207,3161,954
4636,6714,2078
5033,5767,734
401,1099,698
4886,5841,955
215,505,290
4777,5975,1198
225,426,201
4712,5880,1168
199,404,205
4828,5656,828
191,385,194
4722,5272,550
218,351,133
4560,5295,735
198,352,154
4241,5340,1099
202,407,205
4091,5200,1109
204,382,178
3796,4483,687
212,373,161
3546,4154,608
182,426,244
3407,3465,58
173,411,238
3243,2897,-346
268,511,243
3108,3130,22
229,439,210
2037,2637,600
1390,1857,467
997,1281,284
781,1006,225
634,824,190
632,748,116
517,682,165
746,970,224
1858,2509,651
4074,5487,1413
4846,4766,-80
410,734,324
4637,4849,212
270,472,202
4620,5091,471
203,371,168
4524,5077,553
226,358,132
4727,5112,385
202,365,163
4416,4858,442
179,314,135
4546,4929,383
202,345,143
4255,4714,459
200,334,134
4301,4665,364
206,354,148
4345,4764,419
219,357,138
3600,4036,436
202,372,170
3939,3547,-392
191,390,199
3522,2937,-585
224,402,178
2911,2644,-267
166,298,132
2675,2863,188
1961,2297,336
1333,1551,218
930,1127,197
707,842,135
617,773,156
577,677,100
832,1038,206
2255,2651,396
4745,5360,615
5083,5212,129
404,842,438
5004,5308,304
252,456,204
4887,5474,587
242,386,144
4901,5626,725
239,384,145
4899,5578,679
198,366,168
5057,5520,463
226,391,165
4692,5246,554
194,352,158
4490,4978,488
209,364,155
4219,4762,543
197,313,116
