교통량,평균속도,0010CZS440
1313,98.15,
976,97.7,
800,97.06,
713,96.59,
1226,97.97,
3406,97.85,
5399,81.98,
5039,50.8,
795,82.89,
4490,36.66,
476,90.56,
4495,58.89,
414,88.3,
5127,72.8,
382,87.63,
4570,78.7,
368,95.51,
4539,77.73,
347,93.31,
4282,83.31,
298,86.87,
4256,83.14,
322,97.43,
4209,80.38,
314,99.06,
4208,83.19,
323,99.97,
4762,80.26,
347,98.56,
4623,84.06,
412,102.58,
3903,84.55,
453,99.32,
3178,92.02,
325,103.73,
3528,96.62,
2528,99.54,
1655,101.66,
1190,99.77,
949,100.46,
665,98.81,
741,96.86,
1142,99.28,
2943,99.29,
5939,87.49,
5859,64.01,
778,89.99,
5844,45.03,
491,92.54,
4924,34.8,
390,92.03,
4579,30.13,
405,92.29,
4581,34.55,
376,92.02,
4443,54.04,
338,95.31,
4199,40.4,
327,94.84,
4293,42.84,
363,90.53,
4068,68.49,
517,90.44,
4489,82.27,
307,98.98,
4727,79.86,
354,99.67,
4125,82.21,
453,102.39,
3829,86.05,
418,102.22,
3557,90.84,
343,102.65,
3579,97.07,
2637,101.32,
1794,102.01,
1257,99.97,
964,97.94,
656,98.24,
699,96.59,
1197,98.71,
3292,97.7,
6127,85.2,
5821,62.34,
759,86.95,
5922,46.87,
493,91.05,
5654,68.23,
373,92.62,
5721,75.2,
421,88.25,
5627,67.91,
388,91.53,
5208,78.83,
302,91.81,
5368,78.79,
341,87.97,
5018,78.69,
309,93.25,
5097,77.89,
742,87.16,
5171,79.5,
379,97.5,
4853,80.09,
359,99.31,
4852,81.46,
444,98.51,
4367,84.26,
446,100.9,
3630,88.25,
351,102.77,
3292,97.03,
2531,100.24,
1680,102.18,
1454,102.14,
1019,101.23,
806,99.69,
814,100.3,
1229,101.68,
3445,100.58,
6030,84.33,
5804,57.53,
851,83.08,
5771,54.36,
455,93.24,
5007,49.35,
455,89.18,
4922,50.3,
434,88.39,
5445,52.39,
361,90.52,
4989,79.77,
339,95.51,
5267,77.99,
385,94.62,
5255,74.76,
428,89.7,
5210,74,
822,83.91,
5119,79.35,
421,99.72,
4985,77.25,
492,97.95,
5121,77.47,
486,98.87,
4660,79.49,
559,98.87,
4681,78.24,
538,96.52,
4974,91.37,
3979,96.02,
2470,101.75,
1794,103.95,
1292,104.11,
999,104.06,
927,102.71,
1349,102.19,
3319,100.39,
5742,90.52,
4737,81.33,
522,99.17,
5003,78.39,
366,98.83,
5307,79.08,
403,98.42,
5330,73.41,
393,95.72,
5355,74.97,
434,97.13,
5273,75.2,
366,97.9,
5537,66.86,
428,97.17,
5361,79.31,
392,100.74,
4593,83.33,
360,102.79,
5310,58.82,
438,96.83,
5103,75.55,
407,101.5,
4813,78.64,
447,100.53,
4180,85.59,
362,102.35,
3645,87.9,
281,106.55,
3894,98.24,
3010,102.35,
1858,106.55,
1293,107.48,
854,107.63,
589,105.76,
535,103.32,
680,104.04,
1579,105.93,
2747,102.45,
2875,95.71,
318,104.6,
3144,95.43,
253,102.66,
3910,90.45,
266,102.3,
4640,77.74,
318,101.26,
4832,85.27,
285,101.81,
4909,87.82,
278,97.66,
5213,85.64,
332,98.7,
4946,84.65,
374,103.06,
5314,80.21,
372,103.22,
5135,83.2,
342,103.51,
4832,82.21,
347,100.67,
4681,82.55,
420,101.61,
4573,80.3,
379,103.31,
4583,85.84,
335,105.33,
5373,92.79,
4234,99.89,
2465,106.51,
1253,106.12,
773,104.73,
589,102.16,
761,104.74,
1985,107.98,
5098,87.95,
6104,60.48,
4798,52.27,
884,73.2,
4189,58.49,
467,93.06,
4157,61.22,
379,93.6,
4106,33.25,
453,86.92,
4097,34.74,
412,86.96,
4516,34.24,
397,86.71,
4812,36.27,
330,92.27,
4765,31.72,
371,92.23,
4742,32.01,
364,94.52,
4671,31.67,
365,90.15,
4788,67.77,
333,99.75,
4625,83.48,
413,102.04,
4239,84.78,
459,100.41,
3573,90.21,
350,104,
3582,96.31,
2396,100.57,
1655,100.67,
1261,99.26,
890,97.92,
792,95.45,
744,95.87,
1172,97.8,
3266,97.41,
6129,79.81,
5887,47.24,
811,84.02,
6046,45.69,
444,91.89,
5806,55.31,
377,90.83,
5840,75.41,
418,86.51,
5568,68.05,
426,91.51,
5085,60.05,
361,93.55,
5137,51.14,
346,94.32,
5061,82.42,
308,90.86,
5166,78.17,
777,85.82,
4901,79.45,
390,99.59,
4718,80.71,
341,99.87,
4586,82.08,
395,101.56,
3618,87.94,
410,102.03,
3821,86.98,
398,100.22,
3600,96.3,
2415,98.55,
1622,99.45,
1258,99.48,
925,96.68,
710,96.08,
675,95.84,
1060,97.34,
3182,97.46,
6132,86.66,
5876,57.04,
764,87.36,
5997,50.37,
444,93.57,
5846,66.99,
381,91.16,
5735,76.82,
405,86.11,
5550,72.48,
398,91.03,
5328,80.34,
337,93.12,
5292,80.98,
317,94.37,
5109,78.93,
313,99.3,
5284,80.94,
355,99.22,
4894,81.7,
361,99.29,
4762,82.45,
326,100.89,
4709,83.1,
414,101.55,
4267,84.02,
478,99.74,
3376,90.15,
314,102.12,
3585,95.25,
2404,99.42,
1689,101.26,
1280,102.52,
973,100.41,
744,99.56,
705,100.05,
1133,100.25,
3296,100.17,
6119,81.17,
5800,59.5,
815,84.15,
5863,50.36,
484,92.07,
5064,51.54,
438,90.84,
5413,63.91,
410,94.01,
5130,78.23,
350,95.48,
5040,81.08,
311,97,
5152,79.56,
332,99.54,
5023,79.13,
303,98.96,
4863,77.99,
395,98.55,
4770,81.22,
349,98.96,
4777,78.98,
356,99.82,
4485,82.73,
426,100.41,
4093,85.9,
462,101.33,
3533,89.26,
340,100.73,
3620,97.97,
2518,101.13,
1734,103.8,
1367,100.47,
920,98.27,
702,98.07,
611,99.85,
941,100.59,
2901,99,
6031,84.44,
5798,60.51,
833,88.87,
5875,44.7,
493,92.61,
5294,63.16,
364,95.21,
5451,81.47,
337,96.4,
5414,80.82,
332,95.43,
5487,77.08,
