날짜,평균속도
2021.04.30,62.96
2021.04.30,65.11
2021.04.30,62.61
2021.04.30,62.11
2021.04.30,62.27
2021.04.30,75.94
2021.04.30,89.52
2021.04.30,98.41
2021.04.30,101.46
2021.04.30,100.48
2021.04.30,94.58
2021.04.30,97.4
2021.04.30,97.47
2021.04.30,98.87
2021.04.30,100.54
2021.04.30,99.89
2021.04.30,102.01
2021.04.30,96.85
2021.04.30,76.51
2021.04.30,47.09
2021.04.30,62.98
2021.04.30,98.69
2021.04.30,102.44
2021.04.30,105.69
2021.04.29,104.97
2021.04.29,104.46
2021.04.29,101.32
2021.04.29,102.49
2021.04.29,103.83
2021.04.29,106.51
2021.04.29,103.04
2021.04.29,102.35
2021.04.29,104.5
2021.04.29,102.74
2021.04.29,95.82
2021.04.29,97.1
2021.04.29,102.11
2021.04.29,101.1
2021.04.29,98.62
2021.04.29,101.37
2021.04.29,104.42
2021.04.29,104.37
2021.04.29,103.21
2021.04.29,99.71
2021.04.29,98.89
2021.04.29,100.01
2021.04.29,65.39
2021.04.29,57.82
2021.04.28,70.24
2021.04.28,66.44
2021.04.28,70.92
2021.04.28,74.41
2021.04.28,80.11
2021.04.28,92.74
2021.04.28,101.43
2021.04.28,102.08
2021.04.28,103.22
2021.04.28,100.21
2021.04.28,95.96
2021.04.28,96.09
2021.04.28,98.26
2021.04.28,97.93
2021.04.28,100.16
2021.04.28,99.45
2021.04.28,101.52
2021.04.28,104.35
2021.04.28,101.91
2021.04.28,100.42
2021.04.28,100.71
2021.04.28,102.65
2021.04.28,104.69
2021.04.28,106.36
2021.04.27,103.51
2021.04.27,101.39
2021.04.27,100.74
2021.04.27,99.56
2021.04.27,103.01
2021.04.27,104.87
2021.04.27,102.81
2021.04.27,100.92
2021.04.27,102.14
2021.04.27,101.46
2021.04.27,89
2021.04.27,96.92
2021.04.27,99.35
2021.04.27,98.66
2021.04.27,97.87
2021.04.27,99.96
2021.04.27,101.19
2021.04.27,101.81
2021.04.27,99.92
2021.04.27,98.43
2021.04.27,98.6
2021.04.27,101.63
2021.04.27,104.83
2021.04.27,103.25
2021.04.26,107.46
2021.04.26,104.14
2021.04.26,100.69
2021.04.26,103.6
2021.04.26,107.02
2021.04.26,100.05
2021.04.26,101.02
2021.04.26,105.22
2021.04.26,104.35
2021.04.26,99.85
2021.04.26,90.92
2021.04.26,99.8
2021.04.26,99.33
2021.04.26,99.79
2021.04.26,98.57
2021.04.26,100.46
