날짜,교통량
2021.04.30,1357
2021.04.30,886
2021.04.30,636
2021.04.30,675
2021.04.30,1078
2021.04.30,2871
2021.04.30,3655
2021.04.30,4220
2021.04.30,4179
2021.04.30,4049
2021.04.30,4823
2021.04.30,4398
2021.04.30,4259
2021.04.30,4137
2021.04.30,4003
2021.04.30,4273
2021.04.30,4251
2021.04.30,4650
2021.04.30,4678
2021.04.30,3831
2021.04.30,3523
2021.04.30,3580
2021.04.30,3150
2021.04.30,2475
2021.04.29,1051
2021.04.29,743
2021.04.29,554
2021.04.29,615
2021.04.29,1110
2021.04.29,3349
2021.04.29,5277
2021.04.29,5090
2021.04.29,4196
2021.04.29,3900
2021.04.29,4704
2021.04.29,4482
2021.04.29,3902
2021.04.29,3897
2021.04.29,4172
2021.04.29,3765
2021.04.29,3632
2021.04.29,4382
2021.04.29,4431
2021.04.29,3637
2021.04.29,3002
2021.04.29,2853
2021.04.29,2606
2021.04.29,2099
2021.04.28,1152
2021.04.28,861
2021.04.28,676
2021.04.28,688
2021.04.28,1123
2021.04.28,3067
2021.04.28,5199
2021.04.28,4959
2021.04.28,4181
2021.04.28,4154
2021.04.28,4671
2021.04.28,4441
2021.04.28,4225
2021.04.28,4254
2021.04.28,3854
2021.04.28,4084
2021.04.28,4135
2021.04.28,4110
2021.04.28,4615
2021.04.28,3634
2021.04.28,2896
2021.04.28,2693
2021.04.28,2435
2021.04.28,1677
2021.04.27,1027
2021.04.27,757
2021.04.27,586
2021.04.27,634
2021.04.27,1117
2021.04.27,3313
2021.04.27,5362
2021.04.27,5220
2021.04.27,4325
2021.04.27,3946
2021.04.27,4338
2021.04.27,3813
2021.04.27,4137
2021.04.27,4227
2021.04.27,4185
2021.04.27,4049
2021.04.27,4219
2021.04.27,4546
2021.04.27,4491
2021.04.27,3757
2021.04.27,3105
2021.04.27,2690
2021.04.27,2412
2021.04.27,1618
2021.04.26,1220
2021.04.26,811
2021.04.26,594
2021.04.26,728
2021.04.26,1598
2021.04.26,4635
2021.04.26,5854
2021.04.26,4854
2021.04.26,4300
2021.04.26,4237
2021.04.26,5013
2021.04.26,3951
2021.04.26,4040
2021.04.26,3819
2021.04.26,4157
2021.04.26,4028
2021.04.26,3909
2021.04.26,4332
2021.04.26,4745
2021.04.26,3551
2021.04.26,2865
2021.04.26,2709
2021.04.26,2394
2021.04.26,1578
2021.04.25,1143
2021.04.25,688
2021.04.25,445
2021.04.25,430
2021.04.25,786
2021.04.25,2333
2021.04.25,3416
2021.04.25,3392
2021.04.25,3701
2021.04.25,4572
2021.04.25,4844
2021.04.25,4715
2021.04.25,4486
2021.04.25,4157
2021.04.25,4450
2021.04.25,4274
2021.04.25,3950
2021.04.25,3837
2021.04.25,3993
2021.04.25,3527
2021.04.25,3649
2021.04.25,3691
2021.04.25,3321
2021.04.25,2182
2021.04.24,1521
2021.04.24,972
2021.04.24,768
2021.04.24,754
2021.04.24,1427
2021.04.24,3593
2021.04.24,5211
2021.04.24,3985
2021.04.24,3484
2021.04.24,4390
2021.04.24,4673
2021.04.24,4225
2021.04.24,4010
2021.04.24,4103
2021.04.24,4063
2021.04.24,4354
2021.04.24,4213
2021.04.24,4183
2021.04.24,3814
2021.04.24,2936
2021.04.24,2913
2021.04.24,2896
2021.04.24,2745
2021.04.24,1916
2021.04.23,1188
2021.04.23,785
2021.04.23,580
2021.04.23,623
2021.04.23,1146
2021.04.23,3179
2021.04.23,5062
2021.04.23,5218
2021.04.23,4440
2021.04.23,4361
2021.04.23,4977
2021.04.23,4354
2021.04.23,4320
2021.04.23,4543
2021.04.23,4173
2021.04.23,4100
2021.04.23,4472
2021.04.23,4867
2021.04.23,4876
